Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
37,1645450373717,21/02/2022 13:32:53,1645450376577,1,21/02/2022 14:32:56,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,12,9,3,Screen 3,advancementZone,timelimit_screen,1000.1400000000067,,,,,0,1,0,,,1,,1,demonstration,2000,250,
38,1645450373951,21/02/2022 13:32:53,1645450376827,1,21/02/2022 14:32:56,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,12,9,5,end,Zone1,timelimit_screen,250.09100000000035,,,,,0,1,0,,,1,,1,demonstration,2000,250,
39,1645450376958,21/02/2022 13:32:56,1645450379827,1,21/02/2022 14:32:59,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,10,1,Screen 1,Zone1,timelimit_screen,2999.534999999996,,,,,0,1,0,,,1,,1,demonstration,3000,250,
40,1645450377458,21/02/2022 13:32:57,1645450380325,1,21/02/2022 14:33:00,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,10,2,Screen 2,advancementZone,response_keyboard_single,488.89999997615814,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
41,1645450378438,21/02/2022 13:32:58,1645450381310,1,21/02/2022 14:33:01,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,10,3,Screen 3,advancementZone,timelimit_screen,1000.0350000000035,,,,,0,1,0,,,1,,1,demonstration,3000,250,
42,1645450378692,21/02/2022 13:32:58,1645450381560,1,21/02/2022 14:33:01,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,10,5,end,Zone1,timelimit_screen,249.97999999999593,,,,,0,1,0,,,1,,1,demonstration,3000,250,
43,1645450386694,21/02/2022 13:33:06,1645450389559,1,21/02/2022 14:33:09,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,18,11,1,Screen 1,Zone1,timelimit_screen,7998.914000000004,,,,,0,1,0,,,1,,1,demonstration,8000,250,
44,1645450387053,21/02/2022 13:33:07,1645450389920,1,21/02/2022 14:33:09,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,18,11,2,Screen 2,advancementZone,response_keyboard_single,349.89999997615814,,,spacebar,1,0,1,0,,,,,1,demonstration,8000,250,
45,1645450388038,21/02/2022 13:33:08,1645450390908,1,21/02/2022 14:33:10,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,18,11,3,Screen 3,advancementZone,timelimit_screen,999.7130000000034,,,,,0,1,0,,,1,,1,demonstration,8000,250,
46,1645450388289,21/02/2022 13:33:08,1645450391158,1,21/02/2022 14:33:11,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,18,11,5,end,Zone1,timelimit_screen,250.1030000000028,,,,,0,1,0,,,1,,1,demonstration,8000,250,
