Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,accuracy_pic_trial,accuracy,trial_dur,match,accuracy_color_trial,prop_correct,minutes,,accuracy_percentage,phase,correct_resp,correct_response
22,1647007488704,11/03/2022 14:04:48,1647007488626,1,11/03/2022 15:04:48,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,403.30000019073486,/task/320432/9/asset/red.png,,, ,image-keyboard-response,21,66770,0.0-2.1-2.9,,,1,1980,1,1,0.9349999999999999,0.5695333333333333,,,test,, 
23,1647007490727,11/03/2022 14:04:50,1647007490640,1,11/03/2022 15:04:50,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,774.5,/task/320432/9/asset/plane.jpg,,,f,image-keyboard-response,22,68783,0.0-2.1-0.10,,1,1,2010,,,0.9238095238095237,,,,test,,f
24,1647007492761,11/03/2022 14:04:52,1647007492685,1,11/03/2022 15:04:52,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,408.2000000476837,/task/320432/9/asset/red.png,,, ,image-keyboard-response,23,70828,0.0-2.1-2.10,,,1,2040,1,1,0.9409090909090909,0.6371833333333333,,,test,, 
25,1647007494835,11/03/2022 14:04:54,1647007494759,1,11/03/2022 15:04:54,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,626.7000000476837,/task/320432/9/asset/glass.jpg,,,j,image-keyboard-response,24,72903,0.0-2.1-0.11,,1,1,2070,,,0.9304347826086956,,,,test,,j
26,1647007496940,11/03/2022 14:04:56,1647007496864,1,11/03/2022 15:04:56,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/purple.png,,,,image-keyboard-response,25,75007,0.0-2.1-2.11,,,1,2100,,1,0.9458333333333334,0.7068333333333333,,,test,,
27,1647007499081,11/03/2022 14:04:59,1647007498998,1,11/03/2022 15:04:58,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,573.1999998092651,/task/320432/9/asset/plane.jpg,,,f,image-keyboard-response,26,77142,0.0-2.1-0.12,,1,1,2130,,,0.9359999999999999,,,,test,,f
28,1647007501254,11/03/2022 14:05:01,1647007501164,1,11/03/2022 15:05:01,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/green.png,,,,image-keyboard-response,27,79307,0.0-2.1-2.12,,,1,2160,,1,0.95,0.7785,,,test,,
29,1647007503604,11/03/2022 14:05:03,1647007503358,1,11/03/2022 15:05:03,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,489.5,/task/320432/9/asset/glass.jpg,,,j,image-keyboard-response,28,81502,0.0-2.1-0.13,,1,1,2190,,,0.9407407407407407,,,,test,,j
30,1647007505666,11/03/2022 14:05:05,1647007505583,1,11/03/2022 15:05:05,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/purple.png,,,,image-keyboard-response,29,83727,0.0-2.1-2.13,,,1,2220,,1,0.9535714285714285,0.85215,,,test,,
31,1647007507930,11/03/2022 14:05:07,1647007507838,1,11/03/2022 15:05:07,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,505.7000000476837,/task/320432/9/asset/plane.jpg,,,f,image-keyboard-response,30,85981,0.0-2.1-0.14,,1,1,2250,,,0.9448275862068966,,,,test,,f
32,1647007510209,11/03/2022 14:05:10,1647007510122,1,11/03/2022 15:05:10,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,422.10000014305115,/task/320432/9/asset/purple.png,,, ,image-keyboard-response,31,88266,0.0-2.1-2.14,,,1,2280,1,1,0.9566666666666667,0.9278,,,test,, 
33,1647007512524,11/03/2022 14:05:12,1647007512435,1,11/03/2022 15:05:12,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,576,/task/320432/9/asset/elephant.jpg,,,f,image-keyboard-response,32,90579,0.0-2.1-0.15,,1,1,2310,,,0.9483870967741935,,,,test,,f
34,1647007514861,11/03/2022 14:05:14,1647007514781,1,11/03/2022 15:05:14,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,488.69999980926514,/task/320432/9/asset/purple.png,,, ,image-keyboard-response,33,92924,0.0-2.1-2.15,,,1,2340,1,1,0.959375,1.00545,,,test,, 
35,1647007517236,11/03/2022 14:05:17,1647007517158,1,11/03/2022 15:05:17,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,600.7999999523163,/task/320432/9/asset/pear.jpg,,,j,image-keyboard-response,34,95301,0.0-2.2-0.16,,1,1,2370,,,0.9515151515151514,,,,test,,j
36,1647007519660,11/03/2022 14:05:19,1647007519562,1,11/03/2022 15:05:19,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/green.png,,,,image-keyboard-response,35,97706,0.0-2.2-2.16,,,1,2400,,1,0.9617647058823531,1.0851333333333333,,,test,,
37,1647007522088,11/03/2022 14:05:22,1647007521996,1,11/03/2022 15:05:21,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,504.7999999523163,/task/320432/9/asset/pear.jpg,,,j,image-keyboard-response,36,100140,0.0-2.2-0.17,,1,1,2430,,,0.9542857142857144,,,,test,,j
38,1647007524557,11/03/2022 14:05:24,1647007524461,1,11/03/2022 15:05:24,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/pink.png,,,,image-keyboard-response,37,102605,0.0-2.2-2.17,,,1,2460,,1,0.963888888888889,1.1667833333333333,,,test,,
