Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
145,1644954666878,15/02/2022 19:51:06,1644954666213,1,15/02/2022 20:51:06,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,36,5,end,Zone1,timelimit_screen,250.0109999999986,,,,,0,1,0,,,1,,1,demonstration,2000,250,
146,1644954673872,15/02/2022 19:51:13,1644954673213,1,15/02/2022 20:51:13,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,37,1,Screen 1,Zone1,timelimit_screen,6999.891999999993,,,,,0,1,0,,,1,,1,demonstration,7000,250,
147,1644954674192,15/02/2022 19:51:14,1644954673536,1,15/02/2022 20:51:13,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,37,2,Screen 2,advancementZone,response_keyboard_single,316.29999999701977,,,spacebar,1,0,1,0,,,,,1,demonstration,7000,250,
148,1644954675175,15/02/2022 19:51:15,1644954674530,1,15/02/2022 20:51:14,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,37,3,Screen 3,advancementZone,timelimit_screen,999.98199999996,,,,,0,1,0,,,1,,1,demonstration,7000,250,
149,1644954675429,15/02/2022 19:51:15,1644954674780,1,15/02/2022 20:51:14,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,37,5,end,Zone1,timelimit_screen,250.00500000000466,,,,,0,1,0,,,1,,1,demonstration,7000,250,
150,1644954678437,15/02/2022 19:51:18,1644954677775,1,15/02/2022 20:51:17,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,38,1,Screen 1,Zone1,timelimit_screen,2999.8030000000144,,,,,0,1,0,,,1,,1,demonstration,3000,250,
151,1644954678843,15/02/2022 19:51:18,1644954678161,1,15/02/2022 20:51:18,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,38,2,Screen 2,advancementZone,response_keyboard_single,381.1000000014901,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
152,1644954679859,15/02/2022 19:51:19,1644954679158,1,15/02/2022 20:51:19,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,38,3,Screen 3,advancementZone,timelimit_screen,999.9900000000489,,,,,0,1,0,,,1,,1,demonstration,3000,250,
153,1644954680062,15/02/2022 19:51:20,1644954679408,1,15/02/2022 20:51:19,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,38,5,end,Zone1,timelimit_screen,250.00599999999395,,,,,0,1,0,,,1,,1,demonstration,3000,250,
154,1644954685064,15/02/2022 19:51:25,1644954684408,1,15/02/2022 20:51:24,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,36,39,1,Screen 1,Zone1,timelimit_screen,5000.008999999962,,,,,0,1,0,,,1,,1,demonstration,5000,250,
