Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
90,1645027421237,16/02/2022 16:03:41,1645027406734,1,16/02/2022 17:03:26,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,22,5,end,Zone1,timelimit_screen,250.08300000001327,,,,,0,1,0,,,1,,1,demonstration,8000,250,
91,1645027423165,16/02/2022 16:03:43,1645027408733,1,16/02/2022 17:03:28,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,23,1,Screen 1,Zone1,timelimit_screen,1998.3369999999995,,,,,0,1,0,,,1,,1,demonstration,2000,250,
92,1645027423556,16/02/2022 16:03:43,1645027409125,1,16/02/2022 17:03:29,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,23,2,Screen 2,advancementZone,response_keyboard_single,382.0999999999767,,,spacebar,1,0,1,0,,,,,1,demonstration,2000,250,
93,1645027424571,16/02/2022 16:03:44,1645027410115,1,16/02/2022 17:03:30,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,23,3,Screen 3,advancementZone,timelimit_screen,999.4869999999937,,,,,0,1,0,,,1,,1,demonstration,2000,250,
94,1645027424792,16/02/2022 16:03:44,1645027410364,1,16/02/2022 17:03:30,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,23,5,end,Zone1,timelimit_screen,249.80100000000675,,,,,0,1,0,,,1,,1,demonstration,2000,250,
95,1645027434792,16/02/2022 16:03:54,1645027420372,1,16/02/2022 17:03:40,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,24,1,Screen 1,Zone1,timelimit_screen,10008.038,,,,,0,1,0,,,1,,1,demonstration,10000,250,
96,1645027435143,16/02/2022 16:03:55,1645027420728,1,16/02/2022 17:03:40,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,24,2,Screen 2,advancementZone,response_keyboard_single,345.4000000000233,,,spacebar,1,0,1,0,,,,,1,demonstration,10000,250,
97,1645027436152,16/02/2022 16:03:56,1645027421721,1,16/02/2022 17:03:41,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,24,3,Screen 3,advancementZone,timelimit_screen,999.13400000002,,,,,0,1,0,,,1,,1,demonstration,10000,250,
98,1645027436393,16/02/2022 16:03:56,1645027421976,1,16/02/2022 17:03:41,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,24,5,end,Zone1,timelimit_screen,249.72200000000885,,,,,0,1,0,,,1,,1,demonstration,10000,250,
99,1645027444439,16/02/2022 16:04:04,1645027429972,1,16/02/2022 17:03:49,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,38,25,1,Screen 1,Zone1,timelimit_screen,7993.504999999976,,,,,0,1,0,,,1,,1,demonstration,8000,250,
