Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
4,1647900599331,21/03/2022 22:09:59,1647900596670,1,21/03/2022 23:09:56,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,13275,0.0-1.0-0.1,,,,,,,
5,1647900600831,21/03/2022 22:10:00,1647900598173,1,21/03/2022 23:09:58,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/red.png,,,,image-keyboard-response,4,14777,0.0-1.0-1.1,,,test,,0.43333333333333335,1,0.05393333333333333
6,1647900600930,21/03/2022 22:10:00,1647900598277,1,21/03/2022 23:09:58,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,14882,0.0-1.0-0.2,,,,,,,
7,1647900602446,21/03/2022 22:10:02,1647900599780,1,21/03/2022 23:09:59,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/yellow.png,,,,image-keyboard-response,6,16385,0.0-1.0-1.2,,,test,,0.52,1,0.08071666666666667
8,1647900602695,21/03/2022 22:10:02,1647900599883,1,21/03/2022 23:09:59,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,16488,0.0-1.0-0.3,,,,,,,
9,1647900604049,21/03/2022 22:10:04,1647900601387,1,21/03/2022 23:10:01,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/white.png,,,,image-keyboard-response,8,17992,0.0-1.0-1.3,,,test,,0.5571428571428572,1,0.1075
10,1647900604151,21/03/2022 22:10:04,1647900601490,1,21/03/2022 23:10:01,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,18095,0.0-1.0-0.4,,,,,,,
11,1647900605645,21/03/2022 22:10:05,1647900602992,1,21/03/2022 23:10:02,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/yellow.png,,,,image-keyboard-response,10,19597,0.0-1.0-1.4,,,test,,0.5777777777777778,1,0.13425
12,1647900605760,21/03/2022 22:10:05,1647900603095,1,21/03/2022 23:10:03,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,11,19700,0.0-1.0-0.5,,,,,,,
13,1647900607255,21/03/2022 22:10:07,1647900604599,1,21/03/2022 23:10:04,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,572.8999999761581,/task/320040/6/asset/yellow.png,,,,image-keyboard-response,12,21204,0.0-1.0-1.5,,1,test, ,0.5909090909090909,1,0.16103333333333333
