Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
60,1647003351424,11/03/2022 12:55:51,1647003349355,1,11/03/2022 13:55:49,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,15,2,Screen 2,advancementZone,response_keyboard_single,322,,,spacebar,1,0,1,0,,,,,1,demonstration,4000,250,
61,1647003352424,11/03/2022 12:55:52,1647003350344,1,11/03/2022 13:55:50,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,15,3,Screen 3,advancementZone,timelimit_screen,1000.3259999999864,,,,,0,1,0,,,1,,1,demonstration,4000,250,
62,1647003352659,11/03/2022 12:55:52,1647003350594,1,11/03/2022 13:55:50,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,15,5,end,Zone1,timelimit_screen,250.10000000000582,,,,,0,1,0,,,1,,1,demonstration,4000,250,
63,1647003359670,11/03/2022 12:55:59,1647003357594,1,11/03/2022 13:55:57,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,16,1,Screen 1,Zone1,timelimit_screen,7002.626000000004,,,,,0,1,0,,,1,,1,demonstration,7000,250,
64,1647003359774,11/03/2022 12:55:59,1647003357675,1,11/03/2022 13:55:57,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,16,2,Screen 2,advancementZone,response_keyboard_single,75.59999999997672,,,spacebar,1,0,1,0,,,,,1,demonstration,7000,250,
65,1647003360740,11/03/2022 12:56:00,1647003358661,1,11/03/2022 13:55:58,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,16,3,Screen 3,advancementZone,timelimit_screen,1000.3420000000042,,,,,0,1,0,,,1,,1,demonstration,7000,250,
66,1647003361074,11/03/2022 12:56:01,1647003358912,1,11/03/2022 13:55:58,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,21,16,5,end,Zone1,timelimit_screen,250.0920000000042,,,,,0,1,0,,,1,,1,demonstration,7000,250,
67,1647003362990,11/03/2022 12:56:02,1647003360913,1,11/03/2022 13:56:00,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,17,1,Screen 1,Zone1,timelimit_screen,2000.875,,,,,0,1,0,,,1,,1,demonstration,2000,250,
68,1647003363380,11/03/2022 12:56:03,1647003361303,1,11/03/2022 13:56:01,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,17,2,Screen 2,advancementZone,response_keyboard_single,383.79999999998836,,,spacebar,1,0,1,0,,,,,1,demonstration,2000,250,
69,1647003364362,11/03/2022 12:56:04,1647003362296,1,11/03/2022 13:56:02,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,17,3,Screen 3,advancementZone,timelimit_screen,1000.320000000007,,,,,0,1,0,,,1,,1,demonstration,2000,250,
70,1647003364690,11/03/2022 12:56:04,1647003362546,1,11/03/2022 13:56:02,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,17,5,end,Zone1,timelimit_screen,250.07799999999406,,,,,0,1,0,,,1,,1,demonstration,2000,250,
71,1647003373626,11/03/2022 12:56:13,1647003371550,1,11/03/2022 13:56:11,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,39,18,1,Screen 1,Zone1,timelimit_screen,9003.490000000005,,,,,0,1,0,,,1,,1,demonstration,9000,250,
72,1647003373954,11/03/2022 12:56:13,1647003371872,1,11/03/2022 13:56:11,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,39,18,2,Screen 2,advancementZone,response_keyboard_single,317.5,,,spacebar,1,0,1,0,,,,,1,demonstration,9000,250,
73,1647003374935,11/03/2022 12:56:14,1647003372867,1,11/03/2022 13:56:12,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,39,18,3,Screen 3,advancementZone,timelimit_screen,1000.3369999999995,,,,,0,1,0,,,1,,1,demonstration,9000,250,
74,1647003375194,11/03/2022 12:56:15,1647003373117,1,11/03/2022 13:56:13,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,39,18,5,end,Zone1,timelimit_screen,250.112999999983,,,,,0,1,0,,,1,,1,demonstration,9000,250,
75,1647003379199,11/03/2022 12:56:19,1647003377119,1,11/03/2022 13:56:17,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,24,19,1,Screen 1,Zone1,timelimit_screen,4001.4800000000105,,,,,0,1,0,,,1,,1,demonstration,4000,250,
