Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
9,1644859482467,14/02/2022 17:24:42,1644859480527,1,14/02/2022 18:24:40,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,6,2,3,Screen 3,advancementZone,timelimit_screen,1000.0479999999989,,,,,0,1,0,,,1,,1,demonstration,5000,250,
10,1644859482728,14/02/2022 17:24:42,1644859480776,1,14/02/2022 18:24:40,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,6,2,5,end,Zone1,timelimit_screen,249.95300000000134,,,,,0,1,0,,,1,,1,demonstration,5000,250,
11,1644859488749,14/02/2022 17:24:48,1644859486778,1,14/02/2022 18:24:46,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,37,3,1,Screen 1,Zone1,timelimit_screen,6000.838000000003,,,,,0,1,0,,,1,,1,demonstration,6000,250,
12,1644859489059,14/02/2022 17:24:49,1644859487089,1,14/02/2022 18:24:47,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,37,3,2,Screen 2,advancementZone,response_keyboard_single,300.40000000037253,,,spacebar,1,0,1,0,,,,,1,demonstration,6000,250,
13,1644859490046,14/02/2022 17:24:50,1644859488077,1,14/02/2022 18:24:48,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,37,3,3,Screen 3,advancementZone,timelimit_screen,1000.3290000000052,,,,,0,1,0,,,1,,1,demonstration,6000,250,
14,1644859490286,14/02/2022 17:24:50,1644859488327,1,14/02/2022 18:24:48,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,37,3,5,end,Zone1,timelimit_screen,249.67799999999988,,,,,0,1,0,,,1,,1,demonstration,6000,250,
15,1644859500293,14/02/2022 17:25:00,1644859498329,1,14/02/2022 18:24:58,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,40,4,1,Screen 1,Zone1,timelimit_screen,10000.877,,,,,0,1,0,,,1,,1,demonstration,10000,250,
16,1644859500632,14/02/2022 17:25:00,1644859498681,1,14/02/2022 18:24:58,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,40,4,2,Screen 2,advancementZone,response_keyboard_single,340.7000000011176,,,spacebar,1,0,1,0,,,,,1,demonstration,10000,250,
17,1644859501631,14/02/2022 17:25:01,1644859499678,1,14/02/2022 18:24:59,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,40,4,3,Screen 3,advancementZone,timelimit_screen,1000.2839999999997,,,,,0,1,0,,,1,,1,demonstration,10000,250,
18,1644859501878,14/02/2022 17:25:01,1644859499927,1,14/02/2022 18:24:59,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,40,4,5,end,Zone1,timelimit_screen,249.75100000000384,,,,,0,1,0,,,1,,1,demonstration,10000,250,
